(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
;;;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;
001;Flensburg – Schleswig;01;–;232158;231536;232158;231536;192866;180112;192866;180112;1134;1537;1027;1487;191732;178575;191839;178625;28366;38927;30544;45508;50822;41721;47683;36421;43290;50231;30590;33300;4484;12299;7065;19189;28824;9768;29267;10317;;;;;10370;6544;15894;7475;1544;2324;1136;1715;;;;1990;;3357;;2866;;;1210;1844;;;;318;;;;;1451;;1450;403;;;;132;21465;13020;20573;16415;;;;;;;;157;;;;;;;;;;;53;12;;;;;;;;;;;;;;;;;646;;329;;;;6045;;;;;;;;;;470;384;;563;
002;Nordfriesland – Dithmarschen Nord;01;Christlich Demokratische Union Deutschlands;186019;188267;186019;188267;153755;145387;153755;145387;1043;1337;855;1242;152712;144050;152900;144145;31169;40026;26637;37926;49866;43745;45300;35511;16627;20611;18763;22588;5749;13958;7617;18350;24472;8274;24564;8798;;;;;7919;4060;9437;4437;1485;1510;1098;1081;;;;1604;;2254;;1836;;;1067;1322;;;;239;;;;;1172;;1023;237;;;;121;14253;9410;12263;9516;;;;;;;;130;;;;;;;;;;;48;26;;;;;;;;;;;;;;;;;;;177;;;;4906;;;;;;;;;;;202;;423;
003;Steinburg – Dithmarschen Süd;01;Christlich Demokratische Union Deutschlands;175816;176899;175816;176899;146576;136299;146576;136299;1141;1319;805;1190;145435;134980;145771;135109;30733;39379;25645;37468;50928;39431;42612;32842;14468;16686;16079;19237;5647;19315;7447;18492;29693;10429;29679;11303;;;;;8709;4339;9684;4524;3120;2566;1552;1713;;;;1719;;2040;;1712;;;1213;1346;;;;283;;;;;2137;;1233;226;;;;105;;;4991;3366;;;;;;;;118;;;;;;;;;;;45;25;;;;;;;;;;;;;;;;;;;236;;;;5355;;;;;;;;;;;795;;630;
004;Rendsburg-Eckernförde;01;Christlich Demokratische Union Deutschlands;202737;202226;202737;202226;172519;162060;172519;162060;1152;1410;873;1105;171367;160650;171646;160955;36266;49474;30418;43148;56163;47688;50231;38517;20473;23832;25226;28828;8170;12903;7956;19322;26417;10200;27498;10564;;;;;8675;4416;10887;5163;1367;1651;992;1174;;;;1728;;2502;;2375;;2150;1161;1618;;;;244;;;;;1327;;974;253;;;;122;11075;5834;10500;7304;;;;;;;;136;;;;;;;;;;;42;33;;;;;;;;;;;;;;;;;632;;298;;;;5463;;;;;;;;;;802;0;;426;
005;Kiel;01;BÜNDNIS 90/DIE GRÜNEN;201504;202482;201504;202482;167205;155986;167205;155986;1025;1170;901;918;166180;154816;166304;155068;36688;45709;32088;40338;34941;28416;32842;23920;43283;43532;38149;44089;4825;11445;6567;16110;17811;7147;17883;7654;;;;;15946;7275;22779;9430;777;1144;575;954;;;;1676;;2009;;1924;2020;2944;1457;2185;;;;747;;;;;2526;666;1927;556;;;;116;7363;4141;6343;4486;;;;;;;;299;;;;;;;;;;76;61;39;;;;;;;;;;;;;;;;;;;185;;;;5448;;;;;;;;;;;312;;545;
006;Plön – Neumünster;01;Christlich Demokratische Union Deutschlands;173740;174908;173740;174908;143605;133721;143605;133721;1892;1759;950;1194;141713;131962;142655;132527;33977;41497;27342;38670;46370;36870;40815;30290;18852;20740;19957;23051;4693;12420;6150;15901;25249;9404;25683;9741;;;;;7623;3718;9657;4232;3022;2386;1147;1275;;;;1446;;2508;;2007;;2196;992;1300;;;;415;;;;;1927;;1123;230;;;;94;;;4530;3203;;;;;;;;111;;;;;;;;;;;40;23;;;;;;;;;;;;;;;;;;;177;;;;5042;;;;;;;;;;;223;;538;
007;Pinneberg;01;Christlich Demokratische Union Deutschlands;236765;238388;236765;238388;200312;191512;200312;191512;1213;1443;1020;1242;199099;190069;199292;190270;49714;59298;40326;55693;63231;49710;57532;42057;25395;32109;28967;34291;7674;20737;10086;25663;30417;12141;31098;13080;;;;;12683;5659;15064;6363;2190;2380;1313;1731;;;;2320;;2895;;2389;;2352;1360;1805;;;;799;;;;;2422;;2016;457;;;;202;4617;2622;3976;2527;;;;;;;;182;;;;;;;;;;;47;21;;;;;;;;;;;;;;;;;756;;385;;;;7122;;;;;;;;;;;166;;690;
008;Segeberg – Stormarn-Mitte;01;Christlich Demokratische Union Deutschlands;249213;249202;249213;249202;211550;199618;211550;199618;1501;1700;1039;1353;210049;197918;210511;198265;51437;63369;40275;56658;67881;55265;61079;44285;24800;27109;28809;33361;9417;20575;10974;27675;36071;14040;36211;14527;;;;;12636;6202;14887;6468;3262;4670;1706;2297;;;;2663;;3389;;2839;;3299;1705;2226;;;;586;;;;;3352;;2172;509;;;;194;;;4388;3108;;;;;;;;186;;;;;;;;;;;56;30;;;;;;;;;;;;;;;;;1193;;505;;;;7744;;;;;;;;;;;0;;653;
